Company,Ticker,Debt_to_Equity,Debt_to_Assets,Current_Ratio,PEG,Rev_Growth,Price
Match Group,MTCH-US,-,77.6%,1.15,0.48x,23.9,71.8
Ambev ADR,ABEV-US,3.8%,2.3%,1.04,-,21.2,2.5
AMC Entertainment Hldgs A,AMC-US,-,104.2%,0.84,-,604.7,13.4
Amcor,AMCR-US,170.9%,42.9%,1.39,2.00x,12.3,12.3
Yamana Gold,AUY-US,17.4%,9.2%,2.11,-,12.8,4.9
Boeing,BA-US,-,42.5%,1.30,-,8.1,138.7
Alibaba Group Holding ADR,BABA-US,14.3%,7.9%,1.64,1.50x,38.3,116.7
Bank of America,BAC-US,194.4%,16.0%,0.83,1.69x,1.1,32.3
BlackBerry,BB-CA,39.4%,22.2%,1.85,-,-17.6,5.8
Bradesco ADR,BBD-US,336.8%,30.4%,1.12,0.62x,20.8,3.4
KE Holdings ADR A,BEKE-US,11.7%,7.9%,2.16,-,-9.1,17.8
Bristol-Myers Squibb,BMY-US,145.6%,44.6%,1.32,2.02x,9.7,78.7
Boxed,BOXD-US,-,70.1%,1.44,-,-,2.06
BP ADR,BP-US,109.1%,23.4%,1.12,3.67x,11.1,29.1
Bird Global A,BRDS-US,18.4%,12.1%,1.00,-,-,0.47
Boston Scientific,BSX-US,57.9%,29.9%,1.18,1.91x,20.2,37.5
Citigroup,C-US,248.7%,20.5%,1.39,-,-5.5,47.2
Carnival (US),CCL-US,351.4%,68.0%,0.74,-,321.9,10.3
ChargePt Hldg A,CHPT-US,68.4%,29.3%,3.35,-,599.7,14.4
Cleveland-Cliffs,CLF-US,79.3%,25.4%,2.28,-,152.0,15.9
ConocoPhillips,COP-US,38.1%,20.1%,1.51,0.32x,137.8,95.2
Crescent Point Energy,CPG-CA,30.2%,18.9%,0.46,-,121.9,7.9
Credit Suisse Group ADR,CS-US,528.8%,31.8%,4.04,0.19x,-23.8,5.9
Coterra Energy,CTRA-US,29.3%,16.9%,1.57,0.18x,228.8,27.7
Cenovus Energy,CVE-CA,59.8%,26.4%,1.60,-,205.9,20.3
Carvana A,CVNA-US,"8,441.3%",89.0%,1.36,-,108.9,24.7
Chevron,CVX-US,20.1%,11.8%,1.43,1.83x,84.6,150.0
CEMEX ADR,CX-US,89.1%,33.0%,0.86,0.88x,12.9,3.9
Delta Air Lines,DAL-US,"1,120.0%",45.4%,0.65,0.10x,177.4,30.3
Walt Disney,DIS-US,57.4%,25.7%,1.00,0.64x,33.6,95.9
